"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD3D",0,1.06411293409143,0.845,0.406,0,"0","CD3D"
"CCR7",0,2.39736569074813,0.447,0.108,0,"0","CCR7"
"CD3E",0,1.04352902326393,0.731,0.4,0,"0","CD3E"
"LDHB",0,1.20601893421376,0.912,0.592,0,"0","LDHB"
"CD7",0,0.876490554133847,0.582,0.293,0,"0","CD7"
"IL7R",0,0.902346696046702,0.604,0.332,0,"0","IL7R"
"NOSIP",0,1.19891324066858,0.629,0.359,0,"0","NOSIP"
"LTB",0,0.391925971190557,0.898,0.636,0,"0","LTB"
"PIK3IP1",0,1.52619972692082,0.443,0.185,0,"0","PIK3IP1"
"LEF1",0,2.13652967588241,0.342,0.103,0,"0","LEF1"
"PRKCQ-AS1",0,1.9853073488952,0.33,0.112,0,"0","PRKCQ-AS1"
"TCF7",0,1.33771220403719,0.393,0.177,0,"0","TCF7"
"CD27",0,0.923462347812656,0.399,0.184,0,"0","CD27"
"C6orf48",0,0.932040863138954,0.699,0.492,0,"0","C6orf48"
"AES",0,0.665465123241869,0.64,0.442,0,"0","AES"
"LEPROTL1",0,1.10199651702594,0.404,0.209,0,"0","LEPROTL1"
"LCK",0,0.807340191175603,0.504,0.311,0,"0","LCK"
"SELL",0,0.527017347655632,0.608,0.425,0,"0","SELL"
"MAL",0,1.95636752128716,0.268,0.087,0,"0","MAL"
"RGCC",0,1.05390475623038,0.36,0.185,0,"0","RGCC"
"GIMAP5",0,0.825609391420831,0.415,0.241,0,"0","GIMAP5"
"C12orf57",0,1.1084863088827,0.425,0.258,0,"0","C12orf57"
"TMEM123",0,0.769931576902596,0.55,0.385,0,"0","TMEM123"
"RHOH",0,1.04677036740863,0.37,0.208,0,"0","RHOH"
"NDFIP1",0,1.05763450128982,0.444,0.283,0,"0","NDFIP1"
"CD3G",0,0.873794973001624,0.338,0.178,0,"0","CD3G"
"RPSAP58",0,0.588089144920312,0.845,0.698,0,"0","RPSAP58"
"TMEM66",0,0.824690568522161,0.846,0.7,0,"0","TMEM66"
"FLT3LG",0,1.35868439886823,0.276,0.137,0,"0","FLT3LG"
"RPL22",0,0.732067868008857,0.911,0.777,0,"0","RPL22"
"NPM1",0,0.815326090312099,0.921,0.798,0,"0","NPM1"
"GLTSCR2",0,0.620652560292021,0.92,0.803,0,"0","GLTSCR2"
"RPS21",0,0.535228056938789,0.94,0.839,0,"0","RPS21"
"RPS29",0,0.7801951987353,0.993,0.904,0,"0","RPS29"
"BTG1",0,0.626258935417263,0.944,0.859,0,"0","BTG1"
"EEF1B2",0,0.584034431853515,0.947,0.867,0,"0","EEF1B2"
"TOMM7",0,0.470323635952043,0.838,0.758,0,"0","TOMM7"
"RPL36A",0,0.598640412856037,0.965,0.887,0,"0","RPL36A"
"RPL38",0,0.549429350453165,0.947,0.874,0,"0","RPL38"
"RPS4Y1",0,0.49523299182755,0.94,0.869,0,"0","RPS4Y1"
"RPS26",0,0.51845726062175,0.965,0.898,0,"0","RPS26"
"RPLP0",0,0.549277017765888,0.988,0.938,0,"0","RPLP0"
"RPS20",0,0.694261067643774,0.988,0.943,0,"0","RPS20"
"RPL37",0,0.429035782748769,0.987,0.943,0,"0","RPL37"
"RPL37A",0,0.396611457532883,0.987,0.945,0,"0","RPL37A"
"RPSA",0,0.583512421548396,0.99,0.948,0,"0","RPSA"
"RPL24",0,0.431917354065279,0.984,0.942,0,"0","RPL24"
"RPL36",0,0.557539859164788,0.99,0.948,0,"0","RPL36"
"HNRNPA1",0,0.32224083873453,0.961,0.919,0,"0","HNRNPA1"
"RPL4",0,0.543569945971778,0.994,0.956,0,"0","RPL4"
"RPL31",0,0.775754415240304,0.997,0.964,0,"0","RPL31"
"RPS27A",0,0.745480376231418,0.994,0.967,0,"0","RPS27A"
"RPL9",0,0.771433773926731,0.997,0.971,0,"0","RPL9"
"RPL35",0,0.413592014615173,0.991,0.965,0,"0","RPL35"
"RPS28",0,0.660562935916748,0.993,0.968,0,"0","RPS28"
"RPL34",0,0.592990033369222,0.927,0.904,0,"0","RPL34"
"RPS10",0,0.534315390537821,0.991,0.968,0,"0","RPS10"
"RPS13",0,0.715965479063549,0.985,0.962,0,"0","RPS13"
"RPL27",0,0.370671578420735,0.975,0.952,0,"0","RPL27"
"RPS3A",0,0.801027013677765,0.997,0.975,0,"0","RPS3A"
"RPS25",0,0.768994036024559,0.997,0.975,0,"0","RPS25"
"RPL17",0,0.467452297086463,0.978,0.957,0,"0","RPL17"
"RPS23",0,0.583006064516577,0.997,0.977,0,"0","RPS23"
"RPL30",0,0.68063936404087,1,0.98,0,"0","RPL30"
"RPL18",0,0.524928447309897,0.999,0.979,0,"0","RPL18"
"RPL5",0,0.613723530954799,0.988,0.969,0,"0","RPL5"
"RPL35A",0,0.587549237454393,0.999,0.981,0,"0","RPL35A"
"TPT1",0,0.611241837499504,0.997,0.982,0,"0","TPT1"
"RPS5",0,0.513814006282486,0.99,0.975,0,"0","RPS5"
"RPS15A",0,0.648472758820643,0.997,0.983,0,"0","RPS15A"
"RPS16",0,0.547422226176903,0.996,0.982,0,"0","RPS16"
"RPS8",0,0.434586918070971,0.997,0.984,0,"0","RPS8"
"RPL7",0,0.574818246994115,0.98,0.967,0,"0","RPL7"
"RPL23A",0,0.565771705702255,1,0.988,0,"0","RPL23A"
"JUNB",0,0.72578709917314,0.915,0.903,0,"0","JUNB"
"RPL14",0,0.444659821998271,0.996,0.985,0,"0","RPL14"
"RPL12",0,0.299262748360421,1,0.989,0,"0","RPL12"
"RPL27A",0,0.538688804231816,0.999,0.988,0,"0","RPL27A"
"RPS15",0,0.41637825547982,1,0.989,0,"0","RPS15"
"RPS7",0,0.27329933780481,0.997,0.987,0,"0","RPS7"
"RPL7A",0,0.326285669313309,0.985,0.975,0,"0","RPL7A"
"RPLP2",0,0.603163087514067,1,0.99,0,"0","RPLP2"
"RPS12",0,0.738706116231801,1,0.991,0,"0","RPS12"
"RPS27",0,0.737260374621277,0.999,0.992,0,"0","RPS27"
"RPL6",0,0.28671025442536,0.999,0.992,0,"0","RPL6"
"RPL18A",0,0.323458821404844,0.999,0.992,0,"0","RPL18A"
"RPS19",0,0.366090533482966,0.999,0.992,0,"0","RPS19"
"RPS14",0,0.633695708743574,1,0.994,0,"0","RPS14"
"RPL10A",0,0.531966525102187,0.991,0.985,0,"0","RPL10A"
"RPS3",0,0.598938447445117,1,0.994,0,"0","RPS3"
"RPL21",0,0.670953803880463,0.997,0.991,0,"0","RPL21"
"RPL19",0,0.402733142336633,0.999,0.993,0,"0","RPL19"
"RPL11",0,0.467074852193826,1,0.995,0,"0","RPL11"
"RPS4X",0,0.521558982869665,0.997,0.992,0,"0","RPS4X"
"RPS6",0,0.693452323885862,1,0.995,0,"0","RPS6"
"RPS2",0,0.33011414759982,1,0.995,0,"0","RPS2"
"RPL26",0,0.250705602357167,0.996,0.991,0,"0","RPL26"
"RPL32",0,0.626607542994588,0.999,0.995,0,"0","RPL32"
"RPS18",0,0.524265115420561,1,0.996,0,"0","RPS18"
"RPLP1",0,0.313020612646913,1,0.996,0,"0","RPLP1"
"RPL13",0,0.565987702941485,1,0.996,0,"0","RPL13"
"EEF1A1",0,0.535899863190999,0.994,0.991,0,"0","EEF1A1"
"RPL10",0,0.359266327498044,1,0.997,0,"0","RPL10"
"RPL3",0,0.613417471999005,0.997,0.995,0,"0","RPL3"
